"","id","birthday","gender","age","age.group","date","condition","trial","itemNum","trialType","samePos","chosen","chosen_idx","kept","kept_idx","rt","faceVid","faceIdx","example_trial","exposure_trial","test_trial","correct"
"1","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",1,"0","1","0","flower","1","","0",3805,"straightaheadlonger","-1",1,0,0,TRUE
"2","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",2,"0","1","0","truck","0","","0",1035,"straightaheadlonger","-1",1,0,0,TRUE
"3","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",3,"0","1","0","Novel2","0","Novel2","0",3459,"LDkidslonger","0",0,1,0,TRUE
"4","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",4,"0","1","0","Novel2","1","Novel2","0",1897,"LDkidslonger","0",0,0,1,TRUE
"5","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",5,"1","1","1","Novel11","1","Novel5","0",5559,"RDkidslonger","1",0,1,0,TRUE
"6","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",6,"1","1","1","Novel13","1","Novel5","0",2076,"RDkidslonger","1",0,0,1,FALSE
"7","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",7,"2","2","1","Novel23","1","Novel6","0",7078,"LDkidslonger","0",0,1,0,FALSE
"8","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",8,"2","2","1","Novel6","0","Novel6","0",2398,"LDkidslonger","0",0,0,1,TRUE
"9","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",9,"3","2","0","Novel22","1","Novel4","0",1720,"LDkidslonger","0",0,1,0,FALSE
"10","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",10,"3","2","0","Novel7","0","Novel4","0",1803,"LDkidslonger","0",0,0,1,FALSE
"11","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",11,"4","1","[undefined]","Novel27","0","Novel27","0",2090,"LDkidslonger","0",0,1,0,TRUE
"12","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",12,"4","1","[undefined]","Novel25","0","Novel27","0",2192,"LDkidslonger","0",0,0,1,FALSE
"13","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",13,"5","2","[undefined]","Novel20","0","Novel20","0",3107,"RDkidslonger","1",0,1,0,FALSE
"14","1","9/23/09","f",4.1,4,"2014-07-29-14-03","Social",14,"5","2","[undefined]","Novel8","0","Novel20","0",1568,"RDkidslonger","1",0,0,1,FALSE
"15","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",1,"0","1","1","flower","1","","0",9309,"straightaheadlonger","-1",1,0,0,TRUE
"16","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",2,"0","1","1","truck","0","","0",6663,"straightaheadlonger","-1",1,0,0,TRUE
"17","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",3,"0","1","1","Novel6","1","Novel15","0",27080,"RDkidslonger","1",0,1,0,TRUE
"18","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",4,"0","1","1","Novel9","1","Novel15","0",8708,"RDkidslonger","1",0,0,1,FALSE
"19","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",5,"1","1","0","Novel13","0","Novel13","0",10414,"LDkidslonger","0",0,1,0,TRUE
"20","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",6,"1","1","0","Novel13","1","Novel13","0",2801,"LDkidslonger","0",0,0,1,TRUE
"21","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",7,"2","2","1","Novel22","0","Novel11","1",9783,"RDkidslonger","1",0,1,0,FALSE
"22","2","3/16/11","m",3.04,3,"2014-07-29-14-12","Social",8,"2","2","1","Novel23","0","Novel11","1",3714,"RDkidslonger","1",0,0,1,FALSE
